University,Country,Continent,English-speaking
The University of Western Australia,Australia,Oceania,1.0
The University of Sydney,Australia,Oceania,1.0
The University of New South Wales,Australia,Oceania,1.0
Monash University,Australia,Oceania,1.0
The University of Adelaide,Australia,Oceania,1.0
The Australian National University,Australia,Oceania,1.0
Victoria University,Australia,Oceania,1.0
La Trobe University,Australia,Oceania,1.0
The University of Auckland,Australia,Oceania,1.0
The University of Queensland,Australia,Oceania,1.0
University of Newcastle,Australia,Oceania,1.0
The University of Melbourne,Australia,Oceania,1.0
LaTrobe University,Australia,Oceania,1.0
University of Antwerp,Austria,Europe,
University of Innsbruck,Austria,Europe,
Vienna University of Economics and Business,Austria,Europe,
Mannheim Business School,Austria,Europe,
Management Center Innsbruck,Austria,Europe,
Universite Catholique De Louvain,Belgium,Europe,
"University of Brussels, Solvay Business School",Belgium,Europe,
Free University of Brussels,Belgium,Europe,
Universite Catholique de Louvain,Belgium,Europe,
University of Waterloo,Canada,Americas,1.0
University of Toronto,Canada,Americas,1.0
University of Ottawa,Canada,Americas,1.0
McGill University,Canada,Americas,1.0
University of Calgary,Canada,Americas,1.0
Concordia University,Canada,Americas,1.0
The University of British Columbia,Canada,Americas,1.0
University of Alberta,Canada,Americas,1.0
HEC Montreal,Canada,Americas,1.0
The University of British Columbia (Okanagan),Canada,Americas,1.0
York University,Canada,Americas,1.0
Western University,Canada,Americas,1.0
"University of Victoria, British Columbia",Canada,Americas,1.0
Simon Fraser University,Canada,Americas,1.0
Queen's University at Kingston,Canada,Americas,1.0
McMaster University,Canada,Americas,1.0
University of Guelph,Canada,Americas,1.0
"Richard Ivey Sch of Biz, Univ of Western Ontario",Canada,Americas,1.0
Dalhousie University,Canada,Americas,1.0
NOC Toronto,Canada,Americas,1.0
University of Toronto (Mississauga),Canada,Americas,1.0
Peking University,China,Asia,
Nanjing University,China,Asia,
Shanghai Jiao Tong University,China,Asia,
Fudan University,China,Asia,
Minzu University of China,China,Asia,
Tianjin University of Finance and Economics,China,Asia,
Beihang University,China,Asia,
Central University of Finance & Economics,China,Asia,
Nankai University,China,Asia,
Xi'an Jiaotong University,China,Asia,
Zhejiang University,China,Asia,
Sun Yat Sen University,China,Asia,
Tsinghua University,China,Asia,
Renmin University of China,China,Asia,
Tongji University,China,Asia,
Chongqing University,China,Asia,
Tianjin University,China,Asia,
