Faculty,Partner University,PU Module 1,PU Module 1 Title,PU Mod1 Credits,PU Module 2,PU Module 2 Title,PU Mod2 Credits,NUS Module 1,NUS Module 1 Title,NUS Mod1 Credits,NUS Module 2,NUS Module 2 Title,NUS Mod2 Credits,Pre Approved?,Country,Continent,Department 1,Department 2,Level
School of Computing,Aalto University,CS--E4320,Cryptography and Data Security,5,,,,CS2107,Introduction to Information Se,4,,,,N,Finland,Europe,CS,,2
Faculty of Engineering,Aalto University,25C00200,Entrepreneurship and Innovation Management,3,,,,MT4001,Innovation and Entrepreneurial,4,,,,Y,Finland,Europe,MT,,4
Faculty of Engineering,Aalto University,KIE98.7011,Finnish 1A,2,,,,EX1030,Exchange UEM,1,,,,N,Finland,Europe,EX,,1
School of Computing,Aalto University,C3130,Information Security,5,,,,CS2107,Introduction to Information Se,4,,,,,Finland,Europe,CS,,2
School of Computing,Aalto University,CS-C3130,Information Security,5,,,,CS2107,Introduction to Information Se,4,,,,N,Finland,Europe,CS,,2
Faculty of Engineering,Aalto University,MAT1.3601,Introduction to stochastics P,5,,,,EX4881,Exchange UEM 2,3,,,,N,Finland,Europe,EX,,4
Faculty of Engineering,Aalto University,TU22.1432,Management of Uncertainty L,5,,,,IE4887,Exchange Elective,3,,,,Y,Finland,Europe,IE,,4
Faculty of Engineering,Aalto University,TU91.2010,Managerial Economics,5,,,,EX4882,Exchange UEM 3,3,,,,N,Finland,Europe,EX,,4
School of Computing,Aalto University,CS--E4300,Network Security,5,,,,CS2107,Introduction to Information Se,4,,,,N,Finland,Europe,CS,,2
Faculty of Engineering,Aalto University,TU-53.1320,Organisation and Networks P,4,,,,EX4885,Exchange UEM 6,2,,,,N,Finland,Europe,EX,,4
School of Computing,Aalto University,C3150,Software Engineering,5,,,,CS2103,Software Engineering,4,,,,,Finland,Europe,CS,,2
School of Computing,Aalto University,ELEC-E7120,Wireless Systems,5,,,,CS4222,Wireless Networking,4,,,,N,Finland,Europe,CS,,4
NUS Business School,"Aalto University, Helsinki",22E25000,ACCOUNTING FOR MANAGEMENT CONTROL,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",22E25000,ACCOUNTING FOR MANAGEMENT CONTROL,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",22E25000,ACCOUNTING FOR MANAGEMENT CONTROL,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E29000,ADVANCED CORPORATE FINANCE,6,,,,FIN3701,Corporate Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+301,ADVANCED INVESTMENT THEORY,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+301,ADVANCED INVESTMENT THEORY,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+301,ADVANCED INVESTMENT THEORY,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E34500,BANKING AND FINANCIAL INTERMEDIATION,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E34500,BANKING AND FINANCIAL INTERMEDIATION,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E34500,BANKING AND FINANCIAL INTERMEDIATION,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+101,BEHAVIORAL FINANCE AND DECISION MAKING,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+101,BEHAVIORAL FINANCE AND DECISION MAKING,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.80E+101,BEHAVIORAL FINANCE AND DECISION MAKING,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",23C570,BUSINESS-TO-BUSINESS MARKETING,6,,,,MKT3715,Business-to-Business Mkting,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",28C00500,CAPSTONE: VALUATION,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",FIN28C00500,Capstone: Valuation,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",FIN28C00500,Capstone: Valuation,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",23C581,CONSUMER BEHAVIOR,6,,,,MKT3702,Consumer Behaviour,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E30000,CONSUMER BEHAVIOR AND ADVERTISING,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E30000,CONSUMER BEHAVIOR AND ADVERTISING,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E30000,CONSUMER BEHAVIOR AND ADVERTISING,6,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E58050,"CONSUMER BEHAVIOR, RETAIL EXPERIENCE AND FASHION",6,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E58000,CONSUMER BEHAVIOUR IN FASHION AND DESIGN,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E48000,CONSUMER PSYCHOLOGY,6,,,,MKT3702,Consumer Behaviour,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23C59000,Consumer Research,6,,,,MKT3702,Consumer Behaviour,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",35E00400,COORDINATION OF SUPPLY CHAINS,6,,,,DOS3761X,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35E00400,COORDINATION OF SUPPLY CHAINS,6,,,,DOS3761Y,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35E00400,COORDINATION OF SUPPLY CHAINS,6,,,,DOS3761Z,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",75E21000,Corporate Communication in Global Context,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",28C00100,CORPORATE FINANCE,6,,,,FIN3701,Corporate Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",22E26000,Cost Accounting and Financial Planning,6,,,,ACC2706,Managerial Accounting,4,,,,Y,Finland,Europe,ACC,,2
NUS Business School,"Aalto University, Helsinki",23C72000,CUSTOMER RELATIONSHIP MANAGEMENT,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23C72000,CUSTOMER RELATIONSHIP MANAGEMENT,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23C72000,CUSTOMER RELATIONSHIP MANAGEMENT,6,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",23E47000,DIGITAL MARKETING,6,,,,MKT3714,Marketing in a Digital Age,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",35C00100,DISTRIBUTION & LOGISTICS SERVICES,6,,,,DOS3761X,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35C00100,DISTRIBUTION & LOGISTICS SERVICES,6,,,,DOS3761Y,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",35C00100,DISTRIBUTION & LOGISTICS SERVICES,6,,,,DOS3761Z,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",25E46000,ENTREPRENEURIAL BEHAVIOUR AND COMPETENCIES,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",25E31000,ENTREPRENEURSHIP AND MANAGING INNOVATIONS,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",25E32000,ENTREPRENEURSHIP AS A FIELD OF SCIENCE,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",CS-E4450,Explorative Information Visualization,5,,,,DOS4811,Data Visualisation,4,,,,Y,Finland,Europe,DOS,,4
NUS Business School,"Aalto University, Helsinki",23E57000,FASHION MARKETING,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",28C00800,Financial Markets and Institutions,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E00900,FIXED INCOME,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E00900,FIXED INCOME,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E00900,FIXED INCOME,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",2.10E+33,Innovation Processes in Transition,6,,,,DOS3811,Technology and Business Innova,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",23C510,INTEGRATED MARKETING COMMUNICATIONS,6,,,,MKT3718,Advertising & Promotion Mgt,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",FIN28E34200,International Financial Management,6,,,,FIN3711,International Financial Mgt,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28A00210,INTRODUCTION TO FINANCE,6,,,,FIN2704,Finance,4,,,,Y,Finland,Europe,FIN,,2
NUS Business School,"Aalto University, Helsinki",31C00400,INTRODUCTION TO INTERNATIONAL ECONOMICS AND FINANCE,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",31C00400,INTRODUCTION TO INTERNATIONAL ECONOMICS AND FINANCE,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",31C00400,INTRODUCTION TO INTERNATIONAL ECONOMICS AND FINANCE,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",23A00210,INTRODUCTION TO MARKETING,6,,,,MKT1705,Principles of Marketing,4,,,,Y,Finland,Europe,MKT,,1
NUS Business School,"Aalto University, Helsinki",25E48000,INTRODUCTION TO NEW VENTURE CREATION,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",25E8000,INTRODUCTION TO NEW VENTURE CREATION,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",28C00300,INVESTMENT MANAGEMENT,6,,,,FIN3702,Inv. Analysis & Portfolio Mgt,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",32E11100,Legal Aspects of Finance,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",32E11100,Legal Aspects of Finance,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",32E11100,Legal Aspects of Finance,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",31E23000,Macroeconomics: Policy,6,,,,BSE3701,Macroeconomic Principles in th,2,,,,Y,Finland,Europe,BSE,,3
NUS Business School,"Aalto University, Helsinki",ECONOMIC31E23000,Macroeconomics: Policy,6,,,,BSE3701,Macroeconomic Principles in th,4,,,,Y,Finland,Europe,BSE,,3
NUS Business School,"Aalto University, Helsinki",21E01050,Management and Strategy Making,6,,,,BSP3701,Strategic Management,4,,,,Y,Finland,Europe,BSP,,3
NUS Business School,"Aalto University, Helsinki",LOGISTIC35C00400,Management of Technology,6,,,,DOS3761Y,Topics in Operations & SCM,4,,,,Y,Finland,Europe,DOS,,3
NUS Business School,"Aalto University, Helsinki",23C60000,MARKET RESEARCH,6,,,,MKT3722,Research for Marketing Insight,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",75E17000,Media Management,6,,,,MKT3761Z,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",28E33000,MERGERS & ACQUISITION,6,,,,FIN3761X,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E33000,MERGERS & ACQUISITION,6,,,,FIN3761Y,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",28E33000,MERGERS & ACQUISITION,6,,,,FIN3761Z,Topics in Finance,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",27E02000,MODELS IN MARKETING,6,,,,MKT3761X,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",27C02000,NEGOTIATION PROCESSES,6,,,,MNO3702,Negotiation and Conflict Mgt,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",23C79000,NEW PRODUCT DEVELOPMENT,6,,,,MKT3761Y,Topics in Marketing,4,,,,Y,Finland,Europe,MKT,,3
NUS Business School,"Aalto University, Helsinki",35A00210,OPERATIONS MANAGEMENT,6,,,,DAO2703,Operations and Technology Mana,4,,,,Y,Finland,Europe,DAO,,2
NUS Business School,"Aalto University, Helsinki",28E34600,PORTFOLIO MANAGEMENT,6,,,,FIN3702,Inv. Analysis & Portfolio Mgt,4,,,,Y,Finland,Europe,FIN,,3
NUS Business School,"Aalto University, Helsinki",37E01500,PROJECT MANAGEMENT AND CONSULTING PRACTICE,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",37E01500,PROJECT MANAGEMENT AND CONSULTING PRACTICE,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",37E01500,PROJECT MANAGEMENT AND CONSULTING PRACTICE,6,,,,MNO3761Z,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",28E34100,PROJECT WORK,6,,,,MNO3761X,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
NUS Business School,"Aalto University, Helsinki",28E34100,PROJECT WORK,6,,,,MNO3761Y,Topics in L&HCM,4,,,,Y,Finland,Europe,MNO,,3
